n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	2.0607121592769553	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	5.107975858211848	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	1.8285847902297974	0.2	0.2	0.1
X1-X2-X3	GCMI	0.28085645565720785	0.2	0.3	0.1
X1-X2-X3	NPEET	0.32986821349845863	0.2	0.3	0.1
X1-X2-X3	THOI	0.22731081247329712	0.2	0.3	0.1
X1-X2-X3-X4	GCMI	0.2894845348137589	0.2	0.3	0.1
X1-X2-X3-X4	NPEET	0.9190186943434044	0.2	0.3	0.1
X1-X2-X3-X4	THOI	0.45947582721710206	0.2	0.3	0.1
X1-X2-X3-X4-X5	GCMI	1.1619542848345001	0.2	0.3	0.1
X1-X2-X3-X4-X5	NPEET	2.233953885068386	0.2	0.3	0.1
X1-X2-X3-X4-X5	THOI	1.1616926193237305	0.2	0.3	0.1
X1-X2-X3-X4-X5-X6	GCMI	1.8614349856197492	0.2	0.3	0.1
X1-X2-X3-X4-X5-X6	NPEET	3.339174870001284	0.2	0.3	0.1
X1-X2-X3-X4-X5-X6	THOI	1.5919163465499877	0.2	0.3	0.1
Z00-Z01-X1-X2-X3	GCMI	0.6700166329289913	0.2	0.3	0.1
Z00-Z01-X1-X2-X3	NPEET	1.5272545318085995	0.2	0.3	0.1
Z00-Z01-X1-X2-X3	THOI	0.5390403747558594	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	1.2796768424695748	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	3.3422577203652986	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4	THOI	1.1889645338058472	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	2.3436155088054407	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	5.032212708949176	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	2.0546965837478637	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	3.5072533925329004	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	6.745471529626505	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	2.832243871688843	0.2	0.3	0.1
X1-X2-X3	GCMI	0.4865445825400756	0.2	0.4	0.1
X1-X2-X3	NPEET	0.5867068022255328	0.2	0.4	0.1
X1-X2-X3	THOI	0.36736550331115725	0.2	0.4	0.1
X1-X2-X3-X4	GCMI	0.6425227602268382	0.2	0.4	0.1
X1-X2-X3-X4	NPEET	1.3808259327740064	0.2	0.4	0.1
X1-X2-X3-X4	THOI	0.6885936856269836	0.2	0.4	0.1
X1-X2-X3-X4-X5	GCMI	1.8290498016849992	0.2	0.4	0.1
X1-X2-X3-X4-X5	NPEET	3.0229356624156023	0.2	0.4	0.1
X1-X2-X3-X4-X5	THOI	1.5906316637992859	0.2	0.4	0.1
X1-X2-X3-X4-X5-X6	GCMI	2.853832684589646	0.2	0.4	0.1
X1-X2-X3-X4-X5-X6	NPEET	4.477221277602583	0.2	0.4	0.1
X1-X2-X3-X4-X5-X6	THOI	2.2576664447784425	0.2	0.4	0.1
Z00-Z01-X1-X2-X3	GCMI	1.1818453836937577	0.2	0.4	0.1
