n-plet	method	O-information	alpha	beta
X4-X5-X6	NPEET	0.33373293708433316	0.30000000000000004	0.2
X4-X5-X6	THOI	2.47955322265625e-06	0.30000000000000004	0.2
X1-X2-X3-X6	GCMI	0.001802402190801189	0.30000000000000004	0.30000000000000004
X1-X2-X3-X6	NPEET	-0.015954472992025615	0.30000000000000004	0.30000000000000004
X1-X2-X3-X6	THOI	0.001329803466796875	0.30000000000000004	0.30000000000000004
X1-X4-X5-X6	GCMI	5.864679415168439e-06	0.30000000000000004	0.30000000000000004
X1-X4-X5-X6	NPEET	0.5589980188924233	0.30000000000000004	0.30000000000000004
X1-X4-X5-X6	THOI	-8.296966552734374e-06	0.30000000000000004	0.30000000000000004
X2-X3-X6	GCMI	0.0018122989282970182	0.30000000000000004	0.30000000000000004
X2-X3-X6	NPEET	-0.005616674652851117	0.30000000000000004	0.30000000000000004
X2-X3-X6	THOI	0.0013332366943359375	0.30000000000000004	0.30000000000000004
X4-X5-X6	GCMI	2.852346405290973e-06	0.30000000000000004	0.30000000000000004
X4-X5-X6	NPEET	0.3171558222007578	0.30000000000000004	0.30000000000000004
X4-X5-X6	THOI	-1.0776519775390626e-05	0.30000000000000004	0.30000000000000004
X1-X2-X3-X6	GCMI	0.0025364749528044685	0.30000000000000004	0.4
X1-X2-X3-X6	NPEET	0.014187447271618936	0.30000000000000004	0.4
X1-X2-X3-X6	THOI	0.001971721649169922	0.30000000000000004	0.4
X1-X4-X5-X6	GCMI	-6.478154822531223e-06	0.30000000000000004	0.4
X1-X4-X5-X6	NPEET	0.605386103449083	0.30000000000000004	0.4
X1-X4-X5-X6	THOI	-1.1348724365234375e-05	0.30000000000000004	0.4
X2-X3-X6	GCMI	0.002511684605620701	0.30000000000000004	0.4
X2-X3-X6	NPEET	0.010760046420570823	0.30000000000000004	0.4
X2-X3-X6	THOI	0.0019526481628417969	0.30000000000000004	0.4
X4-X5-X6	GCMI	-1.5621295919032718e-06	0.30000000000000004	0.4
X4-X5-X6	NPEET	0.3435194292969255	0.30000000000000004	0.4
X4-X5-X6	THOI	-6.771087646484375e-06	0.30000000000000004	0.4
X1-X2-X3-X6	GCMI	0.0036396638192940146	0.30000000000000004	0.5
X1-X2-X3-X6	NPEET	-0.0027373940210573267	0.30000000000000004	0.5
X1-X2-X3-X6	THOI	0.002791309356689453	0.30000000000000004	0.5
X1-X4-X5-X6	GCMI	1.0037145185748387e-05	0.30000000000000004	0.5
X1-X4-X5-X6	NPEET	0.5895312777445699	0.30000000000000004	0.5
X1-X4-X5-X6	THOI	-1.087188720703125e-05	0.30000000000000004	0.5
X2-X3-X6	GCMI	0.0036225246077682626	0.30000000000000004	0.5
X2-X3-X6	NPEET	-0.027130418948060963	0.30000000000000004	0.5
X2-X3-X6	THOI	0.00278167724609375	0.30000000000000004	0.5
X4-X5-X6	GCMI	4.761916188300575e-06	0.30000000000000004	0.5
X4-X5-X6	NPEET	0.3517176741066546	0.30000000000000004	0.5
X4-X5-X6	THOI	-1.4781951904296875e-05	0.30000000000000004	0.5
X1-X2-X3-X6	GCMI	0.00504545990641816	0.30000000000000004	0.6
X1-X2-X3-X6	NPEET	-0.02779350966226346	0.30000000000000004	0.6
X1-X2-X3-X6	THOI	0.003807735443115234	0.30000000000000004	0.6
X1-X4-X5-X6	GCMI	-2.00802174532555e-07	0.30000000000000004	0.6
X1-X4-X5-X6	NPEET	0.6093670705851025	0.30000000000000004	0.6
X1-X4-X5-X6	THOI	2.4318695068359375e-05	0.30000000000000004	0.6
X2-X3-X6	GCMI	0.005076351042392879	0.30000000000000004	0.6
X2-X3-X6	NPEET	-0.02486749255794134	0.30000000000000004	0.6
X2-X3-X6	THOI	0.0038207054138183595	0.30000000000000004	0.6
X4-X5-X6	GCMI	-5.972085027394769e-07	0.30000000000000004	0.6
X4-X5-X6	NPEET	0.3647628269449701	0.30000000000000004	0.6
X4-X5-X6	THOI	2.4318695068359375e-05	0.30000000000000004	0.6
X1-X2-X3-X6	GCMI	0.006379612459333828	0.30000000000000004	0.7000000000000001
X1-X2-X3-X6	NPEET	-0.025487745106240568	0.30000000000000004	0.7000000000000001
X1-X2-X3-X6	THOI	0.004813289642333985	0.30000000000000004	0.7000000000000001
X1-X4-X5-X6	GCMI	1.1018217267633191e-05	0.30000000000000004	0.7000000000000001
X1-X4-X5-X6	NPEET	0.6319908169572986	0.30000000000000004	0.7000000000000001
X1-X4-X5-X6	THOI	1.8310546875e-05	0.30000000000000004	0.7000000000000001
X2-X3-X6	GCMI	0.006333267148304423	0.30000000000000004	0.7000000000000001
X2-X3-X6	NPEET	-0.014009186089902847	0.30000000000000004	0.7000000000000001
X2-X3-X6	THOI	0.004791164398193359	0.30000000000000004	0.7000000000000001
X4-X5-X6	GCMI	-2.4237704717933185e-06	0.30000000000000004	0.7000000000000001
X4-X5-X6	NPEET	0.37492177811764604	0.30000000000000004	0.7000000000000001
X4-X5-X6	THOI	7.2479248046875e-06	0.30000000000000004	0.7000000000000001
X1-X2-X3-X6	GCMI	0.008067628983325647	0.30000000000000004	0.8
X1-X2-X3-X6	NPEET	-0.04443879574509495	0.30000000000000004	0.8
X1-X2-X3-X6	THOI	0.006160163879394531	0.30000000000000004	0.8
X1-X4-X5-X6	GCMI	9.938923899710516e-06	0.30000000000000004	0.8
X1-X4-X5-X6	NPEET	0.626828543675526	0.30000000000000004	0.8
X1-X4-X5-X6	THOI	1.02996826171875e-05	0.30000000000000004	0.8
X2-X3-X6	GCMI	0.00807179003444336	0.30000000000000004	0.8
X2-X3-X6	NPEET	-0.057660681803813674	0.30000000000000004	0.8
X2-X3-X6	THOI	0.006165409088134765	0.30000000000000004	0.8
X4-X5-X6	GCMI	9.261046991326793e-06	0.30000000000000004	0.8
X4-X5-X6	NPEET	0.36898582883718645	0.30000000000000004	0.8
X4-X5-X6	THOI	1.239776611328125e-05	0.30000000000000004	0.8
X1-X2-X3-X6	GCMI	0.00969559887709721	0.30000000000000004	0.9
X1-X2-X3-X6	NPEET	-0.08228609096932615	0.30000000000000004	0.9
X1-X2-X3-X6	THOI	0.007253837585449219	0.30000000000000004	0.9
X1-X4-X5-X6	GCMI	1.1179486075718615e-05	0.30000000000000004	0.9
X1-X4-X5-X6	NPEET	0.6288053831867202	0.30000000000000004	0.9
X1-X4-X5-X6	THOI	-5.9032440185546874e-05	0.30000000000000004	0.9
X2-X3-X6	GCMI	0.009705197037097513	0.30000000000000004	0.9
X2-X3-X6	NPEET	-0.07013152956253262	0.30000000000000004	0.9
X2-X3-X6	THOI	0.007254886627197266	0.30000000000000004	0.9
X4-X5-X6	GCMI	4.240754173068239e-06	0.30000000000000004	0.9
X4-X5-X6	NPEET	0.35358968797646534	0.30000000000000004	0.9
X4-X5-X6	THOI	-6.265640258789063e-05	0.30000000000000004	0.9
X1-X2-X3-X6	GCMI	0.010451422175681558	0.30000000000000004	1.0
X1-X2-X3-X6	NPEET	-0.07639419525886382	0.30000000000000004	1.0
X1-X2-X3-X6	THOI	0.007773399353027344	0.30000000000000004	1.0
X1-X4-X5-X6	GCMI	-2.217055067177398e-06	0.30000000000000004	1.0
X1-X4-X5-X6	NPEET	0.6247281992718022	0.30000000000000004	1.0
X1-X4-X5-X6	THOI	-6.914138793945312e-05	0.30000000000000004	1.0
X2-X3-X6	GCMI	0.010404882676781035	0.30000000000000004	1.0
X2-X3-X6	NPEET	-0.08115009458306588	0.30000000000000004	1.0
X2-X3-X6	THOI	0.007744026184082031	0.30000000000000004	1.0
X4-X5-X6	GCMI	3.620840918472368e-06	0.30000000000000004	1.0
X4-X5-X6	NPEET	0.3493632245461189	0.30000000000000004	1.0
X4-X5-X6	THOI	-7.257461547851562e-05	0.30000000000000004	1.0
X1-X2-X3-X6	GCMI	2.119674153320261e-05	0.4	0.1
X1-X2-X3-X6	NPEET	0.03189718865792131	0.4	0.1
X1-X2-X3-X6	THOI	7.877349853515624e-05	0.4	0.1
X1-X4-X5-X6	GCMI	-1.7348468283273633e-06	0.4	0.1
X1-X4-X5-X6	NPEET	0.5356840952846678	0.4	0.1
X1-X4-X5-X6	THOI	9.5367431640625e-07	0.4	0.1
X2-X3-X6	GCMI	-2.5934785249148717e-06	0.4	0.1
X2-X3-X6	NPEET	0.029181442119145373	0.4	0.1
X2-X3-X6	THOI	6.208419799804687e-05	0.4	0.1
X4-X5-X6	GCMI	-1.2664311213939071e-06	0.4	0.1
X4-X5-X6	NPEET	0.2866059712081686	0.4	0.1
X4-X5-X6	THOI	9.5367431640625e-07	0.4	0.1
X1-X2-X3-X6	GCMI	0.0005659597235030845	0.4	0.2
X1-X2-X3-X6	NPEET	0.04308500001856643	0.4	0.2
X1-X2-X3-X6	THOI	0.0004250526428222656	0.4	0.2
X1-X4-X5-X6	GCMI	6.847576853630244e-06	0.4	0.2
X1-X4-X5-X6	NPEET	0.5902358095648104	0.4	0.2
X1-X4-X5-X6	THOI	6.198883056640625e-06	0.4	0.2
X2-X3-X6	GCMI	0.000569761480458375	0.4	0.2
X2-X3-X6	NPEET	0.009703354034525092	0.4	0.2
X2-X3-X6	THOI	0.000432586669921875	0.4	0.2
X4-X5-X6	GCMI	4.354755313684677e-06	0.4	0.2
X4-X5-X6	NPEET	0.32322949106657556	0.4	0.2
X4-X5-X6	THOI	1.430511474609375e-06	0.4	0.2
X1-X2-X3-X6	GCMI	0.0014831445365508956	0.4	0.30000000000000004
X1-X2-X3-X6	NPEET	0.02505666202908117	0.4	0.30000000000000004
