n-plet	method	alpha	beta	O-information
X1-X2-Z_syn	JDIT	0.06	0.91	-0.33084698598472945
X1-X2-Z_syn-Z_red	JDIT	0.06	0.91	3.1819592667128616
X1-X2-Z_syn	JDIT	0.06	0.92	-0.3273211894588092
X1-X2-Z_syn-Z_red	JDIT	0.06	0.92	3.18822965865209
X1-X2-Z_syn	JDIT	0.06	0.93	-0.31949465293447615
X1-X2-Z_syn-Z_red	JDIT	0.06	0.93	3.2034705425982066
X1-X2-Z_syn	JDIT	0.06	0.94	-0.316926767398516
X1-X2-Z_syn-Z_red	JDIT	0.06	0.94	3.20941608593188
X1-X2-Z_syn	JDIT	0.06	0.95	-0.3117710685558171
X1-X2-Z_syn-Z_red	JDIT	0.06	0.95	3.219247103537967
X1-X2-Z_syn	JDIT	0.06	0.96	-0.30629446074297395
X1-X2-Z_syn-Z_red	JDIT	0.06	0.96	3.228523914115835
X1-X2-Z_syn	JDIT	0.06	0.97	-0.30140379944359497
X1-X2-Z_syn-Z_red	JDIT	0.06	0.97	3.2381438980564345
X1-X2-Z_syn	JDIT	0.06	0.98	-0.29563906628613223
X1-X2-Z_syn-Z_red	JDIT	0.06	0.98	3.247216546885182
X1-X2-Z_syn	JDIT	0.06	0.99	-0.29081992175497967
X1-X2-Z_syn-Z_red	JDIT	0.06	0.99	3.2564419031590517
X1-X2-Z_syn	JDIT	0.07	0.01	-1.8369452665474757
X1-X2-Z_syn-Z_red	JDIT	0.07	0.01	0.5333516870737552
X1-X2-Z_syn	JDIT	0.07	0.02	-2.203693775900139
X1-X2-Z_syn-Z_red	JDIT	0.07	0.02	0.4394157874494768
X1-X2-Z_syn	JDIT	0.07	0.03	-2.3290299127552005
X1-X2-Z_syn-Z_red	JDIT	0.07	0.03	0.4312951258139354
X1-X2-Z_syn	JDIT	0.07	0.04	-2.3680550045350968
X1-X2-Z_syn-Z_red	JDIT	0.07	0.04	0.4803178761958756
X1-X2-Z_syn	JDIT	0.07	0.05	-2.3524592824561465
X1-X2-Z_syn-Z_red	JDIT	0.07	0.05	0.5637804727255848
X1-X2-Z_syn	JDIT	0.07	0.06	-2.3076164688399134
X1-X2-Z_syn-Z_red	JDIT	0.07	0.06	0.6671115961304059
X1-X2-Z_syn	JDIT	0.07	0.07	-2.2577357907901883
X1-X2-Z_syn-Z_red	JDIT	0.07	0.07	0.7555646089228159
X1-X2-Z_syn	JDIT	0.07	0.08	-2.200595515345107
X1-X2-Z_syn-Z_red	JDIT	0.07	0.08	0.8448512395836589
X1-X2-Z_syn	JDIT	0.07	0.09	-2.13844696321299
X1-X2-Z_syn-Z_red	JDIT	0.07	0.09	0.9344429155444255
X1-X2-Z_syn	JDIT	0.07	0.1	-2.0767050081522984
X1-X2-Z_syn-Z_red	JDIT	0.07	0.1	1.018798973226786
X1-X2-Z_syn	JDIT	0.07	0.2	-1.5706769635857103
X1-X2-Z_syn-Z_red	JDIT	0.07	0.2	1.6315913890153717
X1-X2-Z_syn	JDIT	0.07	0.3	-1.2364850616116316
X1-X2-Z_syn-Z_red	JDIT	0.07	0.3	2.010313808765207
X1-X2-Z_syn	JDIT	0.07	0.4	-0.9928072386796425
X1-X2-Z_syn-Z_red	JDIT	0.07	0.4	2.2902834803905656
X1-X2-Z_syn	JDIT	0.07	0.5	-0.8205821560446808
X1-X2-Z_syn-Z_red	JDIT	0.07	0.5	2.4882903791569264
X1-X2-Z_syn	JDIT	0.07	0.6	-0.6852091249250838
X1-X2-Z_syn-Z_red	JDIT	0.07	0.6	2.6557263256366843
X1-X2-Z_syn	JDIT	0.07	0.7	-0.577443556854088
X1-X2-Z_syn-Z_red	JDIT	0.07	0.7	2.7958156499470705
X1-X2-Z_syn	JDIT	0.07	0.8	-0.4893114053587501
X1-X2-Z_syn-Z_red	JDIT	0.07	0.8	2.9232433318617734
X1-X2-Z_syn	JDIT	0.07	0.9	-0.4190968279079382
X1-X2-Z_syn-Z_red	JDIT	0.07	0.9	3.0315486810043746
X1-X2-Z_syn	JDIT	0.07	0.91	-0.41457660741216007
X1-X2-Z_syn-Z_red	JDIT	0.07	0.91	3.039099994003089
X1-X2-Z_syn	JDIT	0.07	0.92	-0.40562315375687197
X1-X2-Z_syn-Z_red	JDIT	0.07	0.92	3.0532561834417518
X1-X2-Z_syn	JDIT	0.07	0.93	-0.4029482760618765
X1-X2-Z_syn-Z_red	JDIT	0.07	0.93	3.0588972050443983
