n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	10	-1.8867991719297397	-0.1815826891358503	-1.6067414332475307	4.607789276562435	-0.9410993574952089	-0.6825747125024568
3	15	-1.8867991719297397	-0.1815826891358503	-2.7341847058312188	4.605925774141858	-0.1962591484719094	-0.6741498611660388
3	100	-1.8867991719297397	-0.1815826891358503	-4.338859698540194	3.8132648293266564	-1.008178470457362	-1.4967655396445663
3	150	-1.8867991719297397	-0.1815826891358503	-4.688782530785593	3.9338277840083826	-1.1130949293954426	-1.512814374424151
3	1000	-1.8867991719297397	-0.1815826891358503	-5.343882896914014	3.9326288587972305	-2.204357509352211	-1.468428483924797
3	1500	-1.8867991719297397	-0.1815826891358503	-5.734511313357535	3.8042928297970855	-2.4340422795228065	-1.5993722655453473
3	10000	-1.8867991719297397	-0.1815826891358503	-6.521441630653056	3.8705695034552425	-3.3709252893237256	-1.5373680299561672
3	15000	-1.8867991719297397	-0.1815826891358503	-6.7684570585055255	3.886833110590301	-3.5327156924988348	-1.5312281720527507
3	100000	-1.8867991719297397	-0.1815826891358503	-7.696122430283946	3.845505372788693	-4.51538764080291	-1.5625189564935522
3	150000	-1.8867991719297397	-0.1815826891358503	-7.895209280515314	3.834200172357041	-4.723534265329448	-1.5731929721543385
3	1000000	-1.8867991719297397	-0.1815826891358503	-8.844635441551992	3.8512886225636738	-5.670219417613962	-1.559813088888255
3	1500000	-1.8867991719297397	-0.1815826891358503	-9.047919933206598	3.853018586205803	-5.874653150633643	-1.5570607440775155
3	10	-1.7998184435212323	-0.11781318718721678	-3.4091543158760107	3.826574803382933	-0.6157487847914087	-0.585226878380158
3	15	-1.7998184435212323	-0.11781318718721678	-2.5680609766447637	4.653730349064084	-0.6364275947223303	-0.4221760910428465
3	100	-1.7998184435212323	-0.11781318718721678	-4.098457033302601	3.3902393097612538	-1.396205635677381	-2.0006008813140785
3	150	-1.7998184435212323	-0.11781318718721678	-4.433657256754568	3.631083565525482	-1.4377758999515136	-1.7821698884317652
3	1000	-1.7998184435212323	-0.11781318718721678	-5.297156083560722	3.5528244834695384	-2.308598441829874	-1.9378198404991283
3	1500	-1.7998184435212323	-0.11781318718721678	-5.4591214035564235	3.5652190921993756	-2.4892964781948903	-1.9276968346075276
3	10000	-1.7998184435212323	-0.11781318718721678	-6.38482992407703	3.4835436322815903	-3.4541727581459813	-2.022136131892817
3	15000	-1.7998184435212323	-0.11781318718721678	-6.579371072024628	3.4561630356076893	-3.6748012516862048	-2.0485708858693297
3	100000	-1.7998184435212323	-0.11781318718721678	-7.553343274602042	3.4551955071215636	-4.600942895885394	-2.046265564506934
3	150000	-1.7998184435212323	-0.11781318718721678	-7.776559223481918	3.425959822078532	-4.798852994956752	-2.075748377214156
3	1000000	-1.7998184435212323	-0.11781318718721678	-8.715121982418887	3.435356239533505	-5.751459666860718	-2.0665130315877014
3	1500000	-1.7998184435212323	-0.11781318718721678	-8.915224022324727	3.435238376411161	-5.955196136800685	-2.066207393250753
3	10	-1.661999792962181	-0.18806560631301572	-2.7497810181710394	3.9682912703219553	0.07586649765311249	-0.20835532046822935
3	15	-1.661999792962181	-0.18806560631301572	-2.694919627485722	3.852976373156398	-0.41418427700895677	-1.3746961113476113
3	100	-1.661999792962181	-0.18806560631301572	-4.0263748201929825	3.9887195031151075	-1.1811128890655906	-1.4137348068613091
3	150	-1.661999792962181	-0.18806560631301572	-4.020806779369131	4.22624747741878	-1.2151239677652823	-1.2176157074303298
3	1000	-1.661999792962181	-0.18806560631301572	-5.081519609511686	3.5013517418092768	-2.1767824210315263	-1.9434648907622671
3	1500	-1.661999792962181	-0.18806560631301572	-5.227579113553327	3.565412954899198	-2.5180666079643172	-1.9034335199349854
3	10000	-1.661999792962181	-0.18806560631301572	-6.229810701697707	3.6532390133852535	-3.388557656165231	-1.8278708130022525
